county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10021,1001104,篤農里,D040000276,小腳腿多功能活動中心室外男廁,臺南市柳營區篤農里小腳腿226號之1,柳營區公所,23.29091800,120.36809500,特優級,社福機構、集會場所,男廁所,柳營區公所,0
10021,1002101,大智里,D320000854,東區大智里活動中心3F混合廁,臺南市東　區大智里德東街90號,東區區公所,22.96162200,120.23009600,特優級,社福機構、集會場所,混合廁所,東區區公所,0
10003,1000313,澤仁里,H130000097,復興區衛生所2F性別友善廁所,桃園市復興區澤仁村中正路25號,桃園市復興區衛生所,24.81507100,121.35098200,特優級,民眾洽公場所,性別友善廁所,桃園市復興區衛生所,0
10003,1000313,澤仁里,H130000095,復興區衛生所1F女廁,桃園市復興區澤仁村中正路25號,桃園市復興區衛生所,24.81507100,121.35098200,特優級,民眾洽公場所,女廁所,桃園市復興區衛生所,0
10009,1000904,七座里,P040000192,西螺鎮七座里活動中心1F廁所-混合廁,雲林縣西螺鎮七座里七座25號,西螺鎮公所,23.75586900,120.44449100,特優級,社福機構、集會場所,混合廁所,西螺鎮七座里辦公處,0
10007,1000709,溪頭村,N090000081,芬園鄉立納骨塔1F-無障礙廁所,彰化縣芬園鄉溪頭村碧園路一段287巷301號,芬園鄉公所,23.97825900,120.63694900,不合格,宗教禮儀場所,無障礙廁所,芬園鄉公所,0
10009,1000904,埤頭里,P040000189,西螺鎮埤頭里活動中心1F-男廁,雲林縣西螺鎮埤頭里埤頭1-1號,西螺鎮公所,23.77305300,120.47508400,特優級,社福機構、集會場所,男廁所,西螺鎮埤頭里辦公處,0
10009,1000904,大園里,P040000186,西螺鎮大園里活動中心1F廁所-混合廁,雲林縣西螺鎮大園里光復東路95號,西螺鎮公所,23.79822413,120.47251505,特優級,社福機構、集會場所,混合廁所,西螺鎮大園里辦公處,0
10013,1001315,箕湖村,T150000056,新埤鄉綜合休閒公園性別友善廁所,屏東縣新埤鄉箕湖村民眾路,新埤鄉公所,22.46809200,120.58060100,特優級,公園,性別友善廁所,屏東工務處,2
10013,1001308,九清村,T080000047,九如鄉巴轆公園性別友善廁所-2,屏東縣九如鄉九清村九如路二段,九如鄉公所,22.72638100,120.48715800,特優級,公園,性別友善廁所,九如鄉公所公園管理所,0
10017,1001704,文昌里,C040000330,基隆轉運站-北側-男廁,基隆市仁愛區文昌里港西街5號,基隆轉運站,25.13235100,121.73954500,特優級,交通,男廁所,基隆轉運站,0
10002,1000203,蘇西里,G030000182,蘇澳鎮民代表會-男廁,宜蘭縣蘇澳鎮蘇西里蘇港路217號,蘇澳鎮公所,24.59453100,121.84139800,特優級,民眾洽公場所,男廁所,蘇澳鎮民代表會,0
10013,1001312,萬和村,T120000056,萬巒鄉公所三樓混合廁,屏東縣萬巒鄉萬和村中正路36號,萬巒鄉公所,22.57266387,120.56779146,特優級,民眾洽公場所,混合廁所,萬巒鄉公所,0
